These results were downloaded and refreshed on October   20, 2015 at 12:18 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 20 octobre 2015 à 12h18 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
13006	Miramichi--Grand Lake	Miramichi--Grand Lake	preliminary	préliminaires	O'Neill-Gordon		Tilly	Conservative	Conservateur	12556	34.5	0	36349
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	preliminary	préliminaires	Goguen		Robert	Conservative	Conservateur	11170	21.5	0	52017
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	preliminary	préliminaires	LeBlanc		Luc	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8384	16.1	0	52017
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	preliminary	préliminaires	Melanson		Luc	Green Party	Parti Vert	2409	4.6	0	52017
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	preliminary	préliminaires	Petitpas Taylor		Ginette	Liberal	Libéral	30054	57.8	0	52017
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	preliminary	préliminaires	Graham		Andrew	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4769	12.6	0	37927
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	preliminary	préliminaires	Ludwig		Karen	Liberal	Libéral	16656	43.9	0	37927
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	preliminary	préliminaires	MacIntosh		Gayla	Green Party	Parti Vert	1878	5	0	37927
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	preliminary	préliminaires	Williamson		John	Conservative	Conservateur	14624	38.6	0	37927
13009	Saint John--Rothesay	Saint John--Rothesay	preliminary	préliminaires	Griffin		AJ	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	7486	17.7	0	42289
